,Date,MKTCap,Volume,Open_price,Close_price
0,2021-01-18,"672,291,934,493","50,749,258,739","35,804","36,595"
1,2021-01-17,"674,660,879,866","55,054,325,262","36,255","35,804"
2,2021-01-16,"684,304,915,288","63,450,740,093","36,788","36,255"
3,2021-01-15,"729,751,433,670","57,519,444,622","39,233","36,788"
4,2021-01-14,"696,668,634,091","65,278,944,794","37,456","39,233"
5,2021-01-13,"629,751,630,408","68,954,134,557","33,938","37,456"
6,2021-01-12,"663,380,898,829","111,691,569,520","35,670","33,938"
7,2021-01-11,"714,078,952,009","73,381,123,613","38,398","35,670"
8,2021-01-10,"749,347,201,463","55,921,808,672","40,297","38,398"
9,2021-01-09,"758,971,014,787","82,846,468,856","40,816","40,297"
10,2021-01-08,"735,339,707,368","78,642,959,829","39,547","40,816"
11,2021-01-07,"682,743,683,563","71,027,195,898","36,934","39,547"
12,2021-01-06,"633,651,671,519","67,420,500,716","34,082","36,934"
13,2021-01-05,"585,726,270,249","74,657,165,356","31,516","34,082"
14,2021-01-04,"613,616,917,626","178,894,068,361","33,008","31,516"
15,2021-01-03,"597,887,713,054","57,273,436,641","32,164","33,008"
16,2021-01-02,"545,593,282,215","34,089,717,988","29,352","32,164"
17,2021-01-01,"539,438,036,436","43,503,516,563","29,022","29,352"
18,2020-12-31,"535,967,306,918","43,341,140,482","28,837","29,022"
19,2020-12-30,"509,680,257,177","38,081,840,206","27,425","28,837"
20,2020-12-29,"503,712,223,154","42,186,521,237","27,125","27,425"
21,2020-12-28,"493,427,450,341","56,654,980,596","26,423","27,125"
22,2020-12-27,"491,978,602,970","41,995,154,623","26,476","26,423"
23,2020-12-26,"458,416,319,552","36,622,874,230","24,671","26,476"
24,2020-12-25,"441,614,502,954","36,826,373,659","23,760","24,671"
25,2020-12-24,"433,051,601,801","42,917,744,240","23,308","23,760"
26,2020-12-23,"441,752,551,013","38,733,771,616","23,795","23,308"
27,2020-12-22,"424,329,939,582","38,423,396,405","22,841","23,795"
28,2020-12-21,"436,893,169,133","32,907,758,818","23,518","22,841"
29,2020-12-20,"443,289,431,125","35,252,972,900","23,864","23,518"
30,2020-12-19,"429,459,534,590","37,000,188,847","23,121","23,864"
31,2020-12-18,"423,587,689,809","60,693,764,159","22,806","23,121"
32,2020-12-17,"396,179,736,656","39,062,639,738","21,318","22,806"
33,2020-12-16,"360,542,942,205","24,173,322,660","19,432","21,318"
34,2020-12-15,"357,681,110,300","21,638,023,120","19,259","19,432"
