,Date,MKTCap,Volume,Open_price,Close_price
35,2020-12-14,"355,642,790,361","23,550,581,096","19,151","19,259"
36,2020-12-13,"349,235,537,026","21,918,803,314","18,807","19,151"
37,2020-12-12,"335,310,805,699","26,080,197,328","18,058","18,807"
38,2020-12-11,"339,714,540,194","24,092,658,534","18,262","18,058"
39,2020-12-10,"344,693,077,430","29,806,757,749","18,564","18,262"
40,2020-12-09,"340,435,142,948","26,799,991,796","18,336","18,564"
41,2020-12-08,"356,587,934,226","22,034,483,384","19,198","18,336"
42,2020-12-07,"358,762,118,305","21,832,193,873","19,325","19,198"
43,2020-12-06,"355,244,908,735","23,333,284,386","19,139","19,325"
44,2020-12-05,"347,850,442,857","26,369,871,383","18,711","19,139"
45,2020-12-04,"360,661,550,057","24,342,606,871","19,435","18,711"
46,2020-12-03,"356,517,705,143","28,923,102,075","19,208","19,435"
47,2020-12-02,"349,587,593,227","38,614,628,144","18,857","19,208"
48,2020-12-01,"363,927,715,779","36,160,827,241","19,609","18,857"
49,2020-11-30,"336,495,192,223","23,940,328,529","18,169","19,609"
50,2020-11-29,"328,812,520,406","24,501,260,966","17,718","18,169"
51,2020-11-28,"318,057,301,370","30,680,336,583","17,140","17,718"
52,2020-11-27,"317,999,016,791","48,738,957,777","17,138","17,140"
53,2020-11-26,"348,158,099,247","32,146,102,840","18,753","17,138"
54,2020-11-25,"354,209,935,574","49,429,532,567","19,091","18,753"
55,2020-11-24,"340,635,146,714","33,389,683,851","18,360","19,091"
56,2020-11-23,"342,078,349,285","33,010,231,294","18,390","18,360"
57,2020-11-22,"346,623,937,352","31,201,880,852","18,689","18,390"
58,2020-11-21,"345,552,251,091","28,731,271,104","18,628","18,689"
59,2020-11-20,"330,526,082,019","30,586,797,552","17,819","18,628"
60,2020-11-19,"330,792,375,072","40,089,857,655","17,829","17,819"
61,2020-11-18,"327,448,838,765","31,572,384,446","17,651","17,829"
62,2020-11-17,"309,857,769,717","24,606,359,052","16,714","17,651"
63,2020-11-16,"296,277,008,765","19,184,714,603","15,984","16,714"
64,2020-11-15,"298,290,647,831","22,096,608,221","16,095","15,984"
65,2020-11-14,"302,672,502,422","24,826,304,420","16,326","16,095"
66,2020-11-13,"301,529,322,417","28,001,128,791","16,265","16,326"
67,2020-11-12,"291,215,273,242","23,990,613,793","15,686","16,265"
68,2020-11-11,"283,242,342,239","21,918,753,733","15,278","15,686"
69,2020-11-10,"284,292,217,076","29,501,754,043","15,335","15,278"
70,2020-11-09,"287,116,472,704","24,082,570,972","15,496","15,335"
71,2020-11-08,"274,687,727,890","30,369,855,795","14,818","15,496"
72,2020-11-07,"288,563,189,165","34,523,587,705","15,548","14,818"
73,2020-11-06,"288,118,007,577","36,313,255,719","15,553","15,548"
74,2020-11-05,"261,103,557,611","25,857,225,138","14,101","15,553"
75,2020-11-04,"259,277,183,165","22,602,862,338","13,989","14,101"
76,2020-11-03,"251,266,177,558","22,630,851,230","13,558","13,989"
77,2020-11-02,"254,260,250,528","19,771,957,708","13,720","13,558"
78,2020-11-01,"255,329,261,021","22,691,200,479","13,778","13,720"
79,2020-10-31,"250,845,436,638","23,482,756,915","13,537","13,778"
80,2020-10-30,"249,545,455,596","22,860,841,954","13,441","13,537"
81,2020-10-29,"245,661,872,194","26,825,856,788","13,283","13,441"
82,2020-10-28,"253,004,886,697","23,918,511,528","13,655","13,283"
83,2020-10-27,"242,141,178,090","21,507,619,986","13,060","13,655"
84,2020-10-26,"241,326,618,199","18,998,745,579","13,021","13,060"
85,2020-10-25,"242,785,151,288","19,302,801,175","13,106","13,021"
86,2020-10-24,"239,590,543,524","21,379,873,278","12,928","13,106"
87,2020-10-23,"240,257,678,154","25,070,864,647","12,951","12,928"
88,2020-10-22,"236,717,318,526","29,314,287,990","12,806","12,951"
89,2020-10-21,"220,404,884,319","21,431,994,056","11,908","12,806"
90,2020-10-20,"217,391,050,813","18,121,468,516","11,752","11,908"
91,2020-10-19,"212,752,326,976","15,569,792,414","11,495","11,752"
92,2020-10-18,"210,421,523,307","15,650,920,221","11,365","11,495"
93,2020-10-17,"209,993,205,751","20,436,703,034","11,319","11,365"
94,2020-10-16,"212,878,404,237","20,511,481,707","11,495","11,319"
95,2020-10-15,"211,756,280,001","20,441,486,195","11,435","11,495"
96,2020-10-14,"211,576,163,358","19,556,025,069","11,426","11,435"
97,2020-10-13,"213,726,225,963","20,957,733,314","11,543","11,426"
98,2020-10-12,"210,799,352,797","16,270,141,990","11,377","11,543"
99,2020-10-11,"209,268,690,953","19,496,631,246","11,286","11,377"
100,2020-10-10,"204,809,205,392","19,254,933,802","11,063","11,286"
101,2020-10-09,"201,518,932,274","19,767,968,267","10,888","11,063"
102,2020-10-08,"197,575,523,785","17,222,472,600","10,668","10,888"
103,2020-10-07,"196,314,284,797","19,419,734,685","10,605","10,668"
104,2020-10-06,"199,530,129,891","17,853,484,006","10,784","10,605"
105,2020-10-05,"197,494,664,454","16,029,160,488","10,670","10,784"
106,2020-10-04,"195,188,285,650","16,039,831,145","10,546","10,670"
107,2020-10-03,"195,660,035,180","21,258,724,984","10,572","10,546"
108,2020-10-02,"196,617,081,791","20,889,752,500","10,627","10,572"
109,2020-10-01,"199,310,441,689","18,558,607,663","10,770","10,627"
110,2020-09-30,"200,532,996,048","18,308,943,801","10,837","10,770"
111,2020-09-29,"197,720,212,771","19,869,963,340","10,672","10,837"
112,2020-09-28,"199,236,216,251","17,639,951,628","10,765","10,672"
113,2020-09-27,"198,687,083,452","16,886,146,730","10,743","10,765"
114,2020-09-26,"197,616,950,282","19,119,761,059","10,681","10,743"
115,2020-09-25,"198,514,026,300","21,348,447,554","10,726","10,681"
116,2020-09-24,"189,120,580,778","19,981,974,722","10,223","10,726"
117,2020-09-23,"194,731,087,415","19,866,578,109","10,527","10,223"
118,2020-09-22,"193,677,795,064","23,757,059,692","10,439","10,527"
119,2020-09-21,"202,032,519,471","20,161,733,907","10,923","10,439"
120,2020-09-20,"204,994,315,603","18,334,274,060","11,084","10,923"
121,2020-09-19,"202,091,264,905","20,681,771,888","10,927","11,084"
122,2020-09-18,"202,358,479,464","23,547,167,125","10,938","10,927"
123,2020-09-17,"202,524,001,250","24,459,086,809","10,952","10,938"
124,2020-09-16,"199,044,338,128","23,802,088,944","10,787","10,952"
125,2020-09-15,"197,010,021,430","23,526,143,436","10,661","10,787"
126,2020-09-14,"190,922,719,938","21,057,424,433","10,328","10,661"
127,2020-09-13,"192,997,988,416","19,955,498,078","10,439","10,328"
128,2020-09-12,"192,111,562,750","20,796,810,116","10,378","10,439"
129,2020-09-11,"191,180,566,587","77,545,788,531","10,342","10,378"
130,2020-09-10,"188,757,938,084","21,357,083,446","10,230","10,342"
131,2020-09-09,"186,825,391,249","47,780,699,209","10,125","10,230"
132,2020-09-08,"191,501,904,759","26,560,146,962","10,359","10,125"
133,2020-09-07,"189,621,410,257","28,801,019,507","10,260","10,359"
134,2020-09-06,"188,092,098,308","56,430,042,199","10,177","10,260"
135,2020-09-05,"194,040,447,576","27,623,487,077","10,484","10,177"
136,2020-09-04,"188,438,095,255","49,411,126,241","10,197","10,484"
137,2020-09-03,"210,746,091,570","26,038,738,389","11,418","10,197"
138,2020-09-02,"221,315,690,777","25,232,603,062","11,895","11,418"
139,2020-09-01,"215,921,598,551","21,077,276,618","11,672","11,895"
140,2020-08-31,"216,179,629,567","19,909,556,667","11,701","11,672"
141,2020-08-30,"212,114,842,612","18,415,439,614","11,481","11,701"
142,2020-08-29,"212,799,723,685","19,271,253,871","11,519","11,481"
143,2020-08-28,"208,747,591,910","21,595,917,446","11,300","11,519"
144,2020-08-27,"211,778,947,737","20,869,928,786","11,465","11,300"
145,2020-08-26,"209,658,632,328","23,423,332,919","11,350","11,465"
146,2020-08-25,"217,410,678,530","20,061,559,392","11,758","11,350"
147,2020-08-24,"215,347,356,765","18,467,219,109","11,647","11,758"
148,2020-08-23,"215,641,597,240","19,572,783,954","11,676","11,647"
149,2020-08-22,"212,896,669,546","23,406,354,443","11,515","11,676"
150,2020-08-21,"219,044,968,221","20,353,349,055","11,861","11,515"
151,2020-08-20,"216,660,276,173","23,384,200,656","11,733","11,861"
152,2020-08-19,"220,980,135,332","24,825,715,159","11,949","11,733"
153,2020-08-18,"226,536,103,502","25,481,896,191","12,272","11,949"
154,2020-08-17,"219,750,735,623","19,209,711,614","11,901","12,272"
155,2020-08-16,"219,049,736,823","21,285,690,553","11,864","11,901"
156,2020-08-15,"216,916,952,670","21,650,925,952","11,777","11,864"
157,2020-08-14,"217,185,020,505","24,755,770,184","11,817","11,777"
158,2020-08-13,"213,770,877,598","22,803,776,235","11,579","11,817"
159,2020-08-12,"210,825,577,055","24,448,699,831","11,398","11,579"
160,2020-08-11,"218,920,276,229","24,145,919,191","11,862","11,398"
161,2020-08-10,"215,621,627,428","17,051,550,191","11,682","11,862"
162,2020-08-09,"216,526,346,494","17,286,825,185","11,739","11,682"
163,2020-08-08,"213,579,066,889","21,624,736,673","11,571","11,739"
164,2020-08-07,"217,128,467,890","21,793,317,051","11,768","11,571"
165,2020-08-06,"216,249,264,844","22,359,870,185","11,719","11,768"
166,2020-08-05,"206,583,502,228","20,527,193,171","11,181","11,719"
167,2020-08-04,"207,218,525,402","20,583,344,057","11,230","11,181"
168,2020-08-03,"204,126,077,225","27,584,591,853","11,066","11,230"
169,2020-08-02,"217,741,425,309","26,198,946,496","11,812","11,066"
170,2020-08-01,"208,933,774,575","22,329,797,905","11,325","11,812"
171,2020-07-31,"205,200,775,318","22,265,381,996","11,116","11,325"
172,2020-07-30,"204,969,785,091","23,642,111,784","11,093","11,116"
173,2020-07-29,"201,144,184,191","27,637,575,180","10,904","11,093"
174,2020-07-28,"202,191,797,991","34,694,788,844","10,962","10,904"
175,2020-07-27,"183,064,851,468","19,713,211,085","9,925","10,962"
176,2020-07-26,"178,740,874,539","36,726,067,828","9,691","9,925"
177,2020-07-25,"175,865,705,418","35,810,926,085","9,535","9,691"
178,2020-07-24,"176,821,599,774","26,966,148,756","9,589","9,535"
179,2020-07-23,"175,370,017,197","19,702,428,931","9,514","9,589"
180,2020-07-22,"173,036,757,676","20,048,075,731","9,384","9,514"
181,2020-07-21,"168,936,986,921","17,080,393,205","9,163","9,384"
182,2020-07-20,"169,692,625,142","16,085,385,662","9,202","9,163"
183,2020-07-19,"169,031,588,403","15,638,459,043","9,168","9,202"
184,2020-07-18,"168,760,444,137","16,500,659,022","9,156","9,168"
185,2020-07-17,"168,496,782,961","18,760,484,380","9,136","9,156"
186,2020-07-16,"169,758,848,798","16,565,948,995","9,203","9,136"
187,2020-07-15,"170,451,532,162","19,147,263,017","9,247","9,203"
188,2020-07-14,"170,370,727,819","18,245,667,827","9,240","9,247"
189,2020-07-13,"171,364,106,456","17,173,962,880","9,297","9,240"
190,2020-07-12,"170,191,069,703","16,167,064,476","9,234","9,297"
191,2020-07-11,"171,104,767,642","18,224,423,468","9,282","9,234"
192,2020-07-10,"170,198,606,144","19,480,413,474","9,235","9,282"
193,2020-07-09,"173,809,293,390","20,708,592,426","9,432","9,235"
194,2020-07-08,"170,510,411,872","18,945,747,769","9,253","9,432"
195,2020-07-07,"172,136,257,752","21,987,059,042","9,342","9,253"
196,2020-07-06,"167,429,736,493","17,324,463,886","9,087","9,342"
197,2020-07-05,"168,258,822,207","16,643,732,673","9,132","9,087"
198,2020-07-04,"167,116,284,671","17,420,495,829","9,071","9,132"
199,2020-07-03,"167,604,994,105","19,379,463,385","9,094","9,071"
200,2020-07-02,"170,031,996,603","20,005,031,554","9,230","9,094"
201,2020-07-01,"168,558,715,595","19,741,435,780","9,149","9,230"
202,2020-06-30,"169,175,896,894","19,754,459,583","9,185","9,149"
203,2020-06-29,"168,334,049,772","19,665,935,217","9,139","9,185"
204,2020-06-28,"166,004,979,430","21,515,626,881","9,013","9,139"
205,2020-06-27,"168,807,143,703","22,429,204,011","9,166","9,013"
206,2020-06-26,"170,495,281,892","23,499,175,984","9,258","9,166"
207,2020-06-25,"171,028,279,702","23,183,760,292","9,288","9,258"
208,2020-06-24,"177,187,041,227","17,756,804,210","9,624","9,288"
209,2020-06-23,"178,128,652,480","24,768,621,257","9,678","9,624"
210,2020-06-22,"171,192,409,474","18,986,237,382","9,298","9,678"
211,2020-06-21,"172,323,213,442","19,774,464,253","9,360","9,298"
212,2020-06-20,"171,101,646,024","23,738,525,502","9,312","9,360"
213,2020-06-19,"173,034,439,846","20,601,074,386","9,399","9,312"
214,2020-06-18,"174,231,189,757","23,643,218,251","9,463","9,399"
215,2020-06-17,"175,075,304,218","26,391,020,757","9,524","9,463"
216,2020-06-16,"173,598,215,784","29,160,908,897","9,431","9,524"
217,2020-06-15,"172,116,372,679","18,836,155,989","9,345","9,431"
218,2020-06-14,"174,275,005,803","19,693,461,097","9,469","9,345"
219,2020-06-13,"174,266,571,296","23,601,462,338","9,469","9,469"
220,2020-06-12,"171,615,707,160","31,225,155,445","9,326","9,469"
221,2020-06-11,"181,705,166,674","24,398,738,300","9,874","9,326"
222,2020-06-10,"179,709,840,754","22,844,271,951","9,767","9,874"
223,2020-06-09,"179,810,911,053","21,154,971,285","9,773","9,767"
224,2020-06-08,"179,167,717,944","23,856,639,265","9,738","9,773"
225,2020-06-07,"177,901,732,350","19,374,357,195","9,662","9,738"
226,2020-06-06,"177,373,937,377","23,447,982,002","9,636","9,662"
227,2020-06-05,"179,830,985,955","24,903,069,188","9,776","9,636"
228,2020-06-04,"177,416,480,473","25,222,025,159","9,645","9,776"
229,2020-06-03,"175,463,166,972","36,841,150,779","9,515","9,645"
230,2020-06-02,"186,932,702,066","33,702,539,854","10,167","9,515"
231,2020-06-01,"174,105,710,752","27,396,663,221","9,466","10,167"
232,2020-05-31,"177,978,616,383","30,231,487,422","9,662","9,466"
233,2020-05-30,"173,355,014,878","28,880,265,575","9,427","9,662"
234,2020-05-29,"175,534,414,971","31,771,100,326","9,546","9,427"
235,2020-05-28,"168,615,778,510","28,916,177,010","9,174","9,546"
236,2020-05-27,"162,547,226,897","26,860,828,303","8,839","9,174"
237,2020-05-26,"163,333,743,989","29,130,957,734","8,883","8,839"
238,2020-05-25,"161,407,638,875","29,437,505,507","8,731","8,883"
239,2020-05-24,"168,614,573,111","26,159,735,072","9,170","8,731"
240,2020-05-23,"168,309,812,993","27,700,943,120","9,131","9,170"
241,2020-05-22,"166,569,335,291","35,965,016,694","9,059","9,131"
242,2020-05-21,"175,227,227,253","34,829,170,075","9,526","9,059"
243,2020-05-20,"179,127,815,803","37,077,538,115","9,760","9,526"
244,2020-05-19,"178,446,153,576","38,922,896,810","9,708","9,760"
245,2020-05-18,"177,224,284,369","35,650,032,954","9,666","9,708"
246,2020-05-17,"172,309,401,207","34,146,492,788","9,375","9,666"
247,2020-05-16,"170,983,863,891","44,866,846,516","9,309","9,375"
248,2020-05-15,"179,398,095,871","52,076,585,311","9,796","9,309"
249,2020-05-14,"170,593,350,056","44,239,951,917","9,283","9,796"
250,2020-05-13,"161,474,125,336","39,515,455,756","8,788","9,283"
251,2020-05-12,"158,113,540,964","57,996,080,837","8,604","8,788"
252,2020-05-11,"160,814,678,354","61,704,475,185","8,752","8,604"
253,2020-05-10,"175,752,574,355","46,706,541,180","9,566","8,752"
254,2020-05-09,"180,421,762,956","50,955,646,313","9,821","9,566"
255,2020-05-08,"182,927,847,431","61,712,313,965","9,959","9,821"
256,2020-05-07,"167,950,864,937","48,538,811,467","9,144","9,959"
257,2020-05-06,"165,335,617,639","43,436,234,292","9,003","9,144"
258,2020-05-05,"162,341,412,440","44,698,213,713","8,884","9,003"
259,2020-05-04,"163,036,842,347","45,617,019,157","8,888","8,884"
260,2020-05-03,"164,603,123,456","39,177,855,720","8,966","8,888"
261,2020-05-02,"161,989,355,179","44,773,967,198","8,824","8,966"
262,2020-05-01,"158,042,623,264","65,838,312,160","8,610","8,824"
263,2020-04-30,"160,483,573,440","60,399,592,066","8,744","8,610"
264,2020-04-29,"142,370,212,777","32,855,687,797","7,758","8,744"
265,2020-04-28,"142,649,802,463","35,205,525,352","7,774","7,758"
266,2020-04-27,"140,977,260,141","33,760,863,612","7,683","7,774"
267,2020-04-26,"138,298,135,123","31,610,167,152","7,538","7,683"
268,2020-04-25,"137,493,716,065","33,233,126,913","7,495","7,538"
269,2020-04-24,"135,414,822,710","41,032,858,925","7,382","7,495"
270,2020-04-23,"130,398,643,209","30,819,547,915","7,110","7,382"
271,2020-04-22,"125,473,149,029","30,093,303,601","6,842","7,110"
272,2020-04-21,"125,724,610,428","35,276,609,104","6,856","6,842"
273,2020-04-20,"130,680,700,686","29,714,765,522","7,127","6,856"
274,2020-04-19,"132,775,323,305","30,035,235,468","7,242","7,127"
275,2020-04-18,"128,961,704,237","31,701,906,840","7,035","7,242"
276,2020-04-17,"129,402,884,478","45,752,002,264","7,059","7,035"
277,2020-04-16,"121,499,498,110","29,692,916,171","6,629","7,059"
278,2020-04-15,"125,713,883,016","33,837,365,577","6,860","6,629"
279,2020-04-14,"125,651,103,790","38,062,368,291","6,857","6,860"
280,2020-04-13,"126,655,463,658","34,544,392,366","6,913","6,857"
281,2020-04-12,"125,980,543,742","30,280,054,180","6,878","6,913"
282,2020-04-11,"125,740,858,699","37,828,011,011","6,864","6,878"
283,2020-04-10,"133,598,651,282","34,921,486,435","7,294","6,864"
284,2020-04-09,"134,518,720,640","38,922,547,593","7,342","7,294"
285,2020-04-08,"131,782,164,466","43,386,074,291","7,196","7,342"
286,2020-04-07,"133,484,854,333","45,370,138,561","7,297","7,196"
287,2020-04-06,"124,272,363,452","31,885,662,165","6,788","7,297"
288,2020-04-05,"125,564,427,826","35,009,177,102","6,859","6,788"
289,2020-04-04,"123,234,164,428","39,867,535,857","6,732","6,859"
290,2020-04-03,"124,719,708,454","47,638,672,294","6,807","6,732"
291,2020-04-02,"120,921,617,010","35,886,963,978","6,640","6,807"
292,2020-04-01,"117,750,205,634","32,287,674,952","6,421","6,640"
293,2020-03-31,"117,151,628,727","34,907,149,978","6,403","6,421"
294,2020-03-30,"108,551,603,304","25,923,471,292","5,915","6,403"
295,2020-03-29,"114,171,796,491","35,231,848,359","6,255","5,915"
296,2020-03-28,"117,019,679,178","32,910,551,599","6,397","6,255"
297,2020-03-27,"123,732,739,823","34,840,544,710","6,765","6,397"
298,2020-03-26,"122,445,336,599","42,082,295,491","6,695","6,765"
299,2020-03-25,"123,064,256,189","45,846,522,059","6,730","6,695"
300,2020-03-24,"118,046,727,573","45,578,824,448","6,456","6,730"
301,2020-03-23,"107,128,564,671","37,255,748,385","5,859","6,456"
302,2020-03-22,"112,349,835,902","40,189,198,131","6,145","5,859"
303,2020-03-21,"113,030,383,273","50,936,770,688","6,195","6,145"
304,2020-03-20,"112,778,383,593","48,056,214,948","6,170","6,195"
305,2020-03-19,"98,259,998,309","37,618,067,230","5,376","6,170"
306,2020-03-18,"98,079,756,007","36,007,089,254","5,389","5,376"
307,2020-03-17,"91,962,797,384","44,034,438,468","5,032","5,389"
308,2020-03-16,"98,632,587,514","32,985,693,210","5,397","5,032"
309,2020-03-15,"95,216,478,865","36,054,625,747","5,214","5,397"
310,2020-03-14,"101,262,945,297","74,329,688,818","5,542","5,214"
311,2020-03-13,"93,092,131,087","50,009,548,492","5,142","5,542"
312,2020-03-12,"144,948,460,093","38,689,036,553","7,935","5,142"
313,2020-03-11,"144,410,718,988","40,882,213,634","7,906","7,935"
314,2020-03-10,"144,664,117,909","45,678,665,163","7,921","7,906"
315,2020-03-09,"147,076,617,272","39,132,209,138","8,041","7,921"
316,2020-03-08,"162,543,409,238","36,764,763,103","8,902","8,041"
317,2020-03-07,"166,791,067,805","41,388,087,588","9,135","8,902"
318,2020-03-06,"165,070,261,613","38,122,635,173","9,038","9,135"
319,2020-03-05,"159,869,936,941","38,832,067,217","8,758","9,038"
320,2020-03-04,"159,816,567,727","68,336,042,797","8,756","8,758"
321,2020-03-03,"162,521,881,369","59,776,629,743","8,905","8,756"
322,2020-03-02,"155,934,421,965","34,310,775,733","8,567","8,905"
323,2020-03-01,"156,047,250,857","33,291,626,663","8,552","8,567"
324,2020-02-29,"159,030,381,910","41,297,721,067","8,717","8,552"
325,2020-02-28,"160,149,975,301","43,045,469,001","8,781","8,717"
326,2020-02-27,"160,731,785,488","45,140,119,230","8,801","8,781"
327,2020-02-26,"170,478,976,468","39,441,760,776","9,345","8,801"
328,2020-02-25,"175,872,097,740","41,928,789,500","9,670","9,345"
329,2020-02-24,"181,368,043,820","38,743,680,759","9,946","9,670"
330,2020-02-23,"176,097,270,350","32,555,342,237","9,658","9,946"
331,2020-02-22,"176,701,844,102","37,678,167,401","9,673","9,658"
332,2020-02-21,"174,871,048,291","53,579,139,401","9,608","9,673"
333,2020-02-20,"175,312,937,107","50,502,739,124","9,618","9,608"
334,2020-02-19,"184,918,071,499","54,648,014,950","10,133","9,618"
335,2020-02-18,"176,547,652,266","48,517,591,137","9,723","10,133"
336,2020-02-17,"181,221,481,669","42,364,906,261","9,943","9,723"
337,2020-02-16,"180,265,718,401","51,460,340,289","9,894","9,943"
338,2020-02-15,"187,680,301,471","50,206,573,483","10,320","9,894"
339,2020-02-14,"186,190,344,916","54,151,236,618","10,221","10,320"
340,2020-02-13,"188,132,988,213","45,456,624,048","10,328","10,221"
341,2020-02-12,"186,262,984,852","38,930,644,712","10,226","10,328"
342,2020-02-11,"180,145,850,760","81,406,687,324","9,890","10,226"
343,2020-02-10,"184,792,100,015","78,110,955,305","10,148","9,890"
344,2020-02-09,"180,081,607,384","71,561,797,135","9,890","10,148"
345,2020-02-08,"178,414,902,529","69,495,711,756","9,799","9,890"
346,2020-02-07,"177,388,314,198","71,141,695,218","9,744","9,799"
347,2020-02-06,"174,596,806,174","65,675,565,621","9,592","9,744"
348,2020-02-05,"167,075,369,075","55,377,658,456","9,179","9,592"
349,2020-02-04,"169,406,963,183","56,824,765,308","9,308","9,179"
350,2020-02-03,"169,926,610,304","55,025,402,184","9,338","9,308"
351,2020-02-02,"170,361,167,834","48,307,978,234","9,363","9,338"
352,2020-02-01,"169,340,144,566","50,102,814,006","9,308","9,363"
353,2020-01-31,"172,993,102,966","51,037,775,415","9,509","9,308"
354,2020-01-30,"168,738,228,802","47,273,353,144","9,276","9,509"
355,2020-01-29,"169,518,428,145","49,812,761,504","9,320","9,276"
356,2020-01-28,"161,473,602,737","39,661,537,340","8,879","9,320"
357,2020-01-27,"156,302,144,661","30,241,155,463","8,595","8,879"
358,2020-01-26,"151,794,495,723","26,582,198,966","8,348","8,595"
359,2020-01-25,"153,294,353,937","30,691,734,305","8,432","8,348"
360,2020-01-24,"152,984,928,859","30,696,020,541","8,415","8,432"
361,2020-01-23,"157,502,652,064","25,628,542,095","8,665","8,415"
362,2020-01-22,"158,564,958,351","27,057,681,780","8,724","8,665"
363,2020-01-21,"156,848,009,984","29,527,689,343","8,631","8,724"
364,2020-01-20,"157,906,057,309","39,242,297,096","8,690","8,631"
365,2020-01-19,"161,823,609,428","36,801,813,632","8,906","8,690"
366,2020-01-18,"161,848,747,742","41,671,910,798","8,902","8,906"
367,2020-01-17,"158,412,991,118","36,462,155,571","8,720","8,902"
368,2020-01-16,"159,960,761,752","48,160,401,007","8,820","8,720"
369,2020-01-15,"159,481,192,214","55,384,169,406","8,801","8,820"
370,2020-01-14,"147,446,058,196","27,962,176,781","8,110","8,801"
371,2020-01-13,"148,204,228,775","27,533,390,876","8,171","8,110"
372,2020-01-12,"145,561,586,659","31,504,583,511","8,012","8,171"
373,2020-01-11,"146,879,934,259","35,777,298,156","8,180","8,012"
374,2020-01-10,"141,913,856,953","29,276,053,441","7,832","8,180"
375,2020-01-09,"146,089,575,425","39,971,512,000","8,045","7,832"
376,2020-01-08,"147,798,610,896","34,823,187,724","8,147","8,045"
377,2020-01-07,"140,557,168,287","28,148,518,762","7,734","8,147"
378,2020-01-06,"133,388,991,087","21,929,224,571","7,349","7,734"
379,2020-01-05,"133,474,716,218","20,611,640,058","7,351","7,349"
380,2020-01-04,"132,766,262,579","31,015,776,262","7,300","7,351"
381,2020-01-03,"126,280,790,200","20,313,194,628","6,963","7,300"
382,2020-01-02,"130,422,953,818","18,123,516,839","7,193","6,963"
383,2020-01-01,"130,394,101,536","21,187,883,711","7,195","7,193"
384,2019-12-31,"131,377,523,457","22,320,671,264","7,240","7,195"
385,2019-12-30,"133,997,529,973","22,035,194,451","7,394","7,240"
386,2019-12-29,"132,567,576,728","21,437,778,062","7,307","7,394"
387,2019-12-28,"131,349,923,253","25,893,684,880","7,247","7,307"
388,2019-12-27,"130,768,750,218","24,771,695,136","7,208","7,247"
389,2019-12-26,"130,643,567,867","23,546,783,551","7,204","7,208"
390,2019-12-25,"131,358,497,319","26,519,710,985","7,266","7,204"
391,2019-12-24,"132,931,613,272","30,235,862,119","7,335","7,266"
392,2019-12-23,"135,086,328,271","24,325,792,144","7,488","7,335"
393,2019-12-22,"129,342,305,760","18,632,480,433","7,141","7,488"
394,2019-12-21,"130,122,764,301","22,483,207,164","7,185","7,141"
395,2019-12-20,"129,498,636,861","23,539,013,331","7,152","7,185"
396,2019-12-19,"131,230,049,167","57,308,255,784","7,274","7,152"
397,2019-12-18,"119,931,733,577","26,481,385,709","6,627","7,274"
