,Unnamed: 0,Open_price,Close_price,Volume,cir_supply,mktcap,vol_change
0,0,767.74,772.53,23448600.0,12114342.51097045,9358693020.0,0
1,1,772.53,825.47,16837800.0,11408146.583158685,9417082760.0,0
2,2,825.47,849.14,54171500.0,11850127.646795582,10062417390.0,1
3,3,849.14,919.41,36344700.0,11258255.744444808,10350952914.0,0
4,4,919.41,936.38,62414600.0,11969007.180845384,11207538944.0,1
5,5,936.38,826.5,88584600.0,13810528.701754386,11414401972.0,1
6,6,826.5,838.32,80268100.0,12057068.60148869,10107681750.0,0
7,7,838.32,853.29,78060300.0,12019761.403508771,10256342208.0,0
8,8,853.29,863.3,58813600.0,12097656.61067995,10443906952.0,0
9,9,863.3,905.72,29763600.0,11670758.558936536,10570439442.0,0
10,10,905.72,867.45,48299500.0,12789895.091359733,11094594497.0,1
11,11,867.45,840.96,40171100.0,12640539.039906772,10630187711.0,0
12,12,840.96,838.05,42950500.0,12301542.409164133,10309307616.0,1
13,13,838.05,860.44,23469400.0,11943775.73567012,10276902394.0,0
14,14,860.44,837.98,28600400.0,12596248.929568725,10555404678.0,1
15,15,837.98,812.9,18719700.0,12650879.634641409,10283900055.0,0
16,16,812.9,840.0,39266000.0,11880049.63095238,9979241690.0,1
17,17,840.0,838.17,18052700.0,12307362.468234368,10315662000.0,0
18,18,838.17,869.15,17574100.0,11842990.59195766,10293335273.0,0
19,19,869.15,869.57,25421600.0,12278866.474234393,10677333920.0,1
20,20,869.57,865.03,26779700.0,12354226.05921182,10686776168.0,1
21,21,865.03,846.97,17879900.0,12556554.343129035,10635024832.0,0
22,22,846.97,808.32,18412100.0,12887550.927850356,10417265166.0,1
23,23,808.32,804.39,20176000.0,12363887.427740276,9945387408.0,1
24,24,804.39,853.51,31742800.0,11599997.253693571,9900713656.0,1
25,25,853.51,891.86,22676800.0,11783014.37445339,10508799200.0,0
26,26,891.86,777.0,32539200.0,14136899.25997426,10984370725.0,1
27,27,777.0,816.85,61878700.0,11720063.108281814,9573533550.0,1
28,28,816.85,817.17,33409200.0,12320173.586891346,10067676250.0,0
29,29,817.17,817.93,16261700.0,12317469.272431629,10074827642.0,0
30,30,817.93,832.52,31107400.0,12117182.190217651,10087796517.0,1
31,31,832.52,836.41,14722200.0,12280717.605002332,10271715012.0,0
32,32,836.41,813.38,19347600.0,12692299.119722638,10323662258.0,1
33,33,813.38,832.36,12759200.0,12066042.20289298,10043290888.0,0
34,34,832.36,830.92,14823400.0,12373205.90189188,10281144248.0,1
35,35,830.92,805.08,15706200.0,12753070.759427631,10267242207.0,1
36,36,805.08,721.32,47441900.0,13795778.867908834,9951171213.0,1
37,37,721.32,701.61,65733100.0,12712107.110788044,8918941470.0,1
38,38,701.61,672.07,86940400.0,12912742.290237622,8678266711.0,1
39,39,672.07,689.65,34864400.0,12057792.39324295,8315656524.0,0
40,40,689.65,697.76,38527400.0,12232797.34005962,8535556672.0,1
41,41,697.76,655.26,121884000.0,13183975.325824864,8638931672.0,1
42,42,655.26,651.91,65970400.0,12449522.866653372,8115968452.0,0
43,43,651.91,623.57,19109100.0,12953597.121413792,8077474557.0,0
44,44,623.57,644.1,90917600.0,11999898.402421985,7729134561.0,1
45,45,644.1,613.85,57350800.0,13010641.622546224,7986582360.0,0
46,46,613.85,645.14,24104900.0,11802796.735592274,7614456286.0,0
47,47,645.14,625.01,48516100.0,12808482.040287357,8005429360.0,1
48,48,625.01,620.99,22066400.0,12493179.846696405,7758139753.0,0
49,49,620.99,593.89,13276100.0,12984362.504840964,7711283048.0,0
50,50,593.89,582.75,35743400.0,12659640.516516516,7377405511.0,1
51,51,582.75,571.06,56059000.0,12680726.12685182,7241455462.0,1
52,52,571.06,622.97,21675800.0,11394456.054063598,7098404288.0,0
53,53,622.97,572.39,44590700.0,13533590.35273153,7746491782.0,1
54,54,572.39,489.31,47229500.0,14551370.14775909,7120130927.0,1
55,55,489.31,567.25,111102000.0,10733960.475980608,6088839080.0,1
56,56,567.25,586.28,75039300.0,12044072.63764754,7061198906.0,0
57,57,586.28,567.2,38219000.0,12871931.41220028,7300959497.0,0
58,58,567.2,560.11,24649000.0,12615240.506329114,7065922360.0,0
59,59,560.11,561.35,22903800.0,12433798.425224904,6979712746.0,0
60,60,561.35,585.79,11143900.0,11945014.170607217,6997269851.0,0
61,61,585.79,675.0,33049800.0,10820821.36,7304054418.0,1
62,62,675.0,658.24,86124600.0,12789995.86017258,8418886875.0,1
63,63,658.24,654.55,26946700.0,12547112.330608817,8212712376.0,0
64,64,654.55,617.62,16659800.0,13227104.051034616,8169324004.0,0
65,65,617.62,610.37,29823000.0,12633373.235906089,7711032022.0,1
66,66,610.37,636.17,21353000.0,11982913.90194445,7623170337.0,0
67,67,636.17,621.17,15489000.0,12795192.773314876,7947989895.0,0
68,68,621.17,624.23,16425700.0,12436336.27348894,7763134192.0,1
69,69,624.23,638.07,12542300.0,12230606.372341592,7803983008.0,0
70,70,638.07,639.03,20806300.0,12487237.488067854,7979719372.0,1
71,71,639.03,629.67,12866600.0,12696290.096399702,7994472985.0,0
72,72,629.67,638.07,11939800.0,12349133.591925647,7879611671.0,0
73,73,638.07,629.55,5963930.0,12687589.424191885,7987471922.0,0
74,74,629.55,623.71,4834240.0,12639398.970675474,7883319532.0,0
75,75,623.71,612.62,13371500.0,12753312.392674088,7812934238.0,1
76,76,612.62,610.64,23217800.0,12570870.20830604,7676276184.0,1
77,77,610.64,592.07,15227500.0,12927141.533940244,7653772688.0,0
78,78,592.07,582.3,20048500.0,12748823.78842521,7423640092.0,1
79,79,582.3,561.22,38053400.0,13013961.567656176,7303695511.0,1
80,80,561.22,567.78,17983700.0,12402183.104371412,7041711523.0,0
81,81,567.78,571.42,10283000.0,12472492.567638516,7127031703.0,0
82,82,571.42,582.55,17185800.0,12317464.044288045,7175538679.0,1
83,83,582.55,584.44,18634700.0,12520429.260488672,7317439677.0,1
84,84,584.44,567.64,17583200.0,12936019.91226834,7343002343.0,0
85,85,567.64,503.66,22316700.0,14162993.301036412,7133333206.0,1
86,86,503.66,502.3,79571600.0,12605011.44336054,6331497248.0,1
87,87,502.3,469.94,26810900.0,13442382.431799805,6317113200.0,0
88,88,469.94,457.4,17867800.0,12925555.306077832,5912148997.0,0
89,89,457.4,478.72,56838500.0,12024375.919117646,5756309240.0,1
90,90,478.72,437.52,35685800.0,13767030.485463522,6023351178.0,0
91,91,437.52,447.08,49647600.0,12316171.148340344,5506313797.0,1
92,92,447.08,448.88,40765500.0,12484485.945018714,5604036051.0,0
93,93,448.88,464.83,22925500.0,12136939.20142848,5641613449.0,0
94,94,464.83,460.7,13404500.0,12643513.514217496,5824866676.0,0
95,95,460.7,457.79,10241400.0,12688920.734397868,5808861023.0,0
96,96,457.79,450.46,9802770.0,12821651.667184656,5775641210.0,0
97,97,450.46,440.2,10921600.0,12990866.969559291,5718579640.0,1
98,98,440.2,360.84,13204400.0,15490467.284669109,5589580215.0,1
99,99,360.84,420.06,55868300.0,10979186.918535449,4611917257.0,1
100,100,420.06,420.66,62562800.0,12642119.348167164,5318033925.0,1
101,101,420.66,414.95,19226500.0,12825339.211953249,5321874506.0,0
102,102,414.95,457.63,22493500.0,11438645.32264056,5234667259.0,1
103,103,457.63,520.12,50730200.0,11155698.93101592,5802302128.0,1
104,104,520.12,529.16,49561000.0,12327037.092750777,6522974948.0,0
105,105,529.16,494.4,56480100.0,13500149.25566343,6674473792.0,1
106,106,494.4,478.23,34025500.0,13129231.514125004,6278792387.0,0
107,107,478.23,501.55,19042400.0,12110689.582294883,6074116360.0,0
108,108,501.55,497.32,19588200.0,12775878.768197538,6353700029.0,1
109,109,497.32,492.67,12103100.0,12813641.95912071,6312896984.0,0
110,110,492.67,484.85,15171400.0,12962084.01567495,6284666435.0,1
111,111,484.85,487.53,9770190.0,12690572.672450926,6187034895.0,0
112,112,487.53,494.27,8412033.0,12608332.73514476,6231920621.0,0
113,113,494.27,458.81,9512215.0,13840178.995662691,6350012525.0,1
114,114,458.81,453.8,44062362.0,12906742.765535478,5857079867.0,1
115,115,453.8,437.92,11997980.0,13296439.17153818,5822776642.0,0
116,116,437.92,436.92,9760122.0,12685892.856815891,5542720307.0,0
117,117,436.92,443.27,20781688.0,12619543.289642882,5593864954.0,1
118,118,443.27,445.0,15011936.0,12772414.660674157,5683724524.0,0
119,119,445.0,455.09,13054746.0,12504801.610670418,5690810165.0,0
120,120,455.09,443.47,11953625.0,13126988.233702391,5821425472.0,0
121,121,443.47,434.03,8165770.0,13171038.700089855,5716625927.0,0
122,122,434.03,433.94,9446959.0,12836850.610683504,5570422954.0,1
123,123,433.94,429.08,5229831.0,12945784.949193625,5554777406.0,0
124,124,429.08,426.76,8567756.0,12932214.692098605,5518951942.0,1
125,125,426.76,439.3,10822749.0,12436773.305258363,5463474513.0,1
126,126,439.3,437.36,16360711.0,12783059.60993232,5590798951.0,1
127,127,437.36,447.49,8491459.0,12536170.305481687,5609810850.0,0
128,128,447.49,452.51,8820053.0,12662998.260811916,5730133343.0,1
129,129,452.51,436.28,5529665.0,13283999.039607592,5795543101.0,0
130,130,436.28,439.19,11522907.0,12748369.678271364,5598956479.0,1
131,131,439.19,437.31,5903394.0,12882461.002492512,5633629021.0,0
132,132,437.31,444.25,5619474.0,12662484.036015756,5625308533.0,0
133,133,444.25,444.25,6764834.0,12761084.447945977,5669111766.0,1
